Kline open time,time,Open price,High price,Low price,Close price,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
1651363200000,2022-05-01 00:00:00,72.57000000,72.70000000,72.19000000,72.22000000,44042.00000000,3192083.31000000,288,16793.00000000,1217389.99000000
1651366800000,2022-05-01 01:00:00,72.22000000,72.33000000,72.00000000,72.02000000,31815.00000000,2294299.05000000,394,14240.00000000,1027333.02000000
1651370400000,2022-05-01 02:00:00,72.04000000,72.14000000,72.00000000,72.09000000,41992.00000000,3024975.76000000,279,17690.00000000,1274526.63000000
1651374000000,2022-05-01 03:00:00,72.06000000,72.30000000,71.83000000,72.10000000,41300.00000000,2974221.38000000,202,17820.00000000,1283556.99000000
1651377600000,2022-05-01 04:00:00,72.09000000,72.09000000,71.30000000,71.40000000,97018.00000000,6947588.91000000,262,30646.00000000,2200024.93000000
1651381200000,2022-05-01 05:00:00,71.32000000,71.91000000,71.17000000,71.73000000,98863.00000000,7057954.12000000,349,53983.00000000,3855171.30000000
1651384800000,2022-05-01 06:00:00,71.79000000,72.23000000,71.53000000,72.12000000,45733.00000000,3287831.40000000,239,26971.00000000,1939563.24000000
1651388400000,2022-05-01 07:00:00,72.11000000,72.16000000,71.71000000,71.83000000,44520.00000000,3199799.46000000,223,21422.00000000,1539516.27000000
1651392000000,2022-05-01 08:00:00,71.83000000,72.20000000,71.83000000,71.95000000,38723.00000000,2790159.21000000,242,21290.00000000,1534056.44000000
1651395600000,2022-05-01 09:00:00,71.91000000,72.27000000,71.71000000,72.10000000,62836.00000000,4521840.00000000,298,31304.00000000,2252945.76000000
1651399200000,2022-05-01 10:00:00,72.11000000,72.25000000,72.01000000,72.12000000,37026.00000000,2669773.93000000,222,16903.00000000,1219093.30000000
1651402800000,2022-05-01 11:00:00,72.13000000,72.17000000,71.58000000,71.98000000,105256.00000000,7566440.99000000,447,50998.00000000,3664845.36000000
1651406400000,2022-05-01 12:00:00,71.98000000,72.11000000,71.70000000,71.88000000,46677.00000000,3357097.39000000,288,24456.00000000,1759413.95000000
1651410000000,2022-05-01 13:00:00,71.80000000,72.03000000,71.60000000,72.00000000,58299.00000000,4185575.46000000,249,36324.00000000,2607510.02000000
1651413600000,2022-05-01 14:00:00,71.95000000,72.15000000,71.83000000,72.09000000,37469.00000000,2697419.53000000,225,20928.00000000,1506543.78000000
1651417200000,2022-05-01 15:00:00,72.08000000,72.20000000,71.80000000,72.12000000,53719.00000000,3868522.32000000,311,27440.00000000,1976652.26000000
1651420800000,2022-05-01 16:00:00,72.17000000,72.17000000,71.75000000,71.87000000,50017.00000000,3598530.48000000,279,20257.00000000,1457017.36000000
1651424400000,2022-05-01 17:00:00,71.86000000,72.13000000,71.73000000,71.95000000,45643.00000000,3282369.88000000,241,26108.00000000,1877811.48000000
1651428000000,2022-05-01 18:00:00,71.96000000,72.19000000,71.90000000,72.01000000,35084.00000000,2528338.69000000,284,17160.00000000,1236888.60000000
1651431600000,2022-05-01 19:00:00,72.02000000,72.02000000,71.34000000,71.60000000,112703.00000000,8078007.02000000,301,40188.00000000,2881991.73000000
1651435200000,2022-05-01 20:00:00,71.57000000,71.86000000,71.45000000,71.71000000,37654.00000000,2698629.53000000,238,20706.00000000,1483808.49000000
